Epoch	Train Loss	Validation Loss
1	0.4194	0.3848
2	0.3185	0.3486
3	0.2958	0.3184
4	0.2682	0.2580
5	0.2496	0.2494
6	0.2347	0.2517
7	0.2230	0.2125
8	0.2153	0.2436
9	0.2117	0.2459
10	0.2021	0.2047
11	0.1965	0.2199
12	0.1942	0.2104
13	0.1879	0.1959
14	0.1822	0.1977
15	0.1809	0.2049
16	0.1810	0.2181
17	0.1718	0.1766
18	0.1699	0.1730
19	0.1670	0.1796
20	0.1697	0.2085
21	0.1686	0.1665
22	0.1609	0.1660
23	0.1575	0.1653
24	0.1574	0.1812
25	0.1537	0.1597
26	0.1506	0.1600
27	0.1550	0.1677
28	0.1505	0.1605
29	0.1462	0.1559
30	0.1442	0.1598
31	0.1419	0.1558
32	0.1402	0.2455
33	0.1453	0.1532
34	0.1369	0.1548
35	0.1334	0.1448
36	0.1343	0.1708
37	0.1308	0.1425
38	0.1318	0.1544
39	0.1274	0.1366
40	0.1248	0.1305
41	0.1112	0.1204
42	0.1083	0.1199
43	0.1076	0.1199
44	0.1067	0.1191
45	0.1059	0.1184
46	0.1052	0.1178
47	0.1043	0.1181
48	0.1034	0.1185
49	0.1029	0.1174
50	0.1022	0.1183
51	0.1017	0.1183
52	0.1011	0.1173
53	0.1004	0.1172
54	0.0998	0.1187
55	0.0993	0.1186
56	0.0987	0.1173
57	0.0986	0.1177
58	0.0974	0.1170
59	0.0971	0.1173
60	0.0965	0.1185
61	0.0957	0.1163
62	0.0951	0.1183
63	0.0948	0.1173
64	0.0943	0.1198
65	0.0935	0.1176
66	0.0935	0.1180
67	0.0930	0.1158
68	0.0920	0.1179
69	0.0914	0.1173
70	0.0916	0.1160
71	0.0900	0.1196
72	0.0907	0.1197
73	0.0895	0.1158
74	0.0889	0.1164
75	0.0892	0.1157
76	0.0877	0.1180
77	0.0884	0.1175
78	0.0870	0.1159
79	0.0872	0.1159
80	0.0862	0.1159
81	0.0827	0.1139
82	0.0822	0.1145
83	0.0819	0.1142
84	0.0818	0.1142
85	0.0816	0.1141
86	0.0814	0.1144
87	0.0814	0.1143
88	0.0811	0.1143
89	0.0810	0.1144
90	0.0809	0.1143
91	0.0806	0.1146
92	0.0805	0.1144
93	0.0805	0.1144
94	0.0804	0.1141
95	0.0801	0.1148
96	0.0798	0.1143
97	0.0800	0.1147
98	0.0798	0.1144
99	0.0795	0.1147
100	0.0794	0.1143
101	0.0794	0.1151
102	0.0791	0.1145
103	0.0790	0.1143
104	0.0790	0.1148
105	0.0789	0.1150
106	0.0787	0.1149
107	0.0785	0.1146
108	0.0785	0.1148
109	0.0783	0.1148
110	0.0778	0.1151
111	0.0779	0.1148
112	0.0776	0.1145
113	0.0775	0.1151
114	0.0774	0.1148
115	0.0772	0.1150
