Epoch	Train Loss	Validation Loss
1	0.8559	0.9145
2	0.6901	0.8108
3	0.5971	0.7355
4	0.5400	0.6276
5	0.5054	0.5336
6	0.4901	0.5285
7	0.4700	0.4936
8	0.4535	0.4720
9	0.4421	0.4783
10	0.4480	0.4648
11	0.4353	0.4559
12	0.4304	0.4613
13	0.4283	0.4621
14	0.4338	0.4452
15	0.4163	0.4530
16	0.4232	0.4504
17	0.4122	0.4365
18	0.3978	0.4303
19	0.4025	0.4283
20	0.3958	0.4242
21	0.3872	0.4116
22	0.3805	0.4074
23	0.3755	0.4042
24	0.3736	0.4025
25	0.3707	0.3991
26	0.3681	0.3963
27	0.3694	0.3973
28	0.3654	0.4002
29	0.3606	0.3969
30	0.3608	0.3921
31	0.3590	0.3957
32	0.3565	0.3910
33	0.3533	0.3945
34	0.3576	0.3852
35	0.3516	0.3890
36	0.3496	0.3916
37	0.3525	0.3870
38	0.3470	0.3853
39	0.3446	0.3944
40	0.3495	0.3874
41	0.3471	0.3805
42	0.3386	0.3781
43	0.3388	0.3785
44	0.3358	0.3787
45	0.3330	0.3782
46	0.3340	0.3779
47	0.3318	0.3768
48	0.3323	0.3774
49	0.3306	0.3768
50	0.3281	0.3762
51	0.3298	0.3761
52	0.3275	0.3756
53	0.3281	0.3754
54	0.3249	0.3768
55	0.3257	0.3764
56	0.3250	0.3755
57	0.3242	0.3751
58	0.3215	0.3774
59	0.3261	0.3745
60	0.3191	0.3755
61	0.3189	0.3750
62	0.3217	0.3745
63	0.3191	0.3744
64	0.3168	0.3745
65	0.3190	0.3744
66	0.3173	0.3743
67	0.3154	0.3743
68	0.3185	0.3743
69	0.3188	0.3743
70	0.3169	0.3744
71	0.3168	0.3745
72	0.3145	0.3744
73	0.3173	0.3746
74	0.3168	0.3745
75	0.3150	0.3745
76	0.3172	0.3745
77	0.3177	0.3745
78	0.3159	0.3747
79	0.3166	0.3747
80	0.3114	0.3746
81	0.3148	0.3746
82	0.3136	0.3747
83	0.3141	0.3748
84	0.3165	0.3748
85	0.3138	0.3748
86	0.3123	0.3748
87	0.3140	0.3748
88	0.3141	0.3748
89	0.3149	0.3748
90	0.3142	0.3748
91	0.3163	0.3748
92	0.3162	0.3748
93	0.3116	0.3748
94	0.3114	0.3748
95	0.3145	0.3748
96	0.3152	0.3748
97	0.3151	0.3748
98	0.3108	0.3749
99	0.3140	0.3749
100	0.3153	0.3749
101	0.3131	0.3749
102	0.3126	0.3749
103	0.3151	0.3749
104	0.3122	0.3749
105	0.3141	0.3749
106	0.3142	0.3749
107	0.3127	0.3749
108	0.3138	0.3749
109	0.3139	0.3749
110	0.3126	0.3749
111	0.3151	0.3749
112	0.3130	0.3749
113	0.3131	0.3749
114	0.3130	0.3749
115	0.3132	0.3749
116	0.3141	0.3749
117	0.3142	0.3749
118	0.3121	0.3749
119	0.3109	0.3749
120	0.3122	0.3749
121	0.3150	0.3749
122	0.3141	0.3749
123	0.3136	0.3749
124	0.3179	0.3748
125	0.3122	0.3749
126	0.3121	0.3749
127	0.3130	0.3749
128	0.3138	0.3749
129	0.3142	0.3749
130	0.3141	0.3749
131	0.3152	0.3749
132	0.3117	0.3749
133	0.3131	0.3748
134	0.3144	0.3748
135	0.3131	0.3749
136	0.3144	0.3749
137	0.3144	0.3749
138	0.3130	0.3749
139	0.3148	0.3749
140	0.3167	0.3749
141	0.3126	0.3749
142	0.3161	0.3749
143	0.3110	0.3749
144	0.3128	0.3749
145	0.3123	0.3749
146	0.3141	0.3749
147	0.3134	0.3749
148	0.3134	0.3749
149	0.3142	0.3749
150	0.3142	0.3749
151	0.3140	0.3749
152	0.3136	0.3748
153	0.3123	0.3749
154	0.3131	0.3749
155	0.3106	0.3749
156	0.3126	0.3748
157	0.3143	0.3748
158	0.3132	0.3749
159	0.3123	0.3748
160	0.3159	0.3748
161	0.3153	0.3749
162	0.3133	0.3748
163	0.3146	0.3748
164	0.3143	0.3748
165	0.3125	0.3748
166	0.3114	0.3748
167	0.3114	0.3748
168	0.3156	0.3748
169	0.3153	0.3748
170	0.3114	0.3749
171	0.3130	0.3749
172	0.3135	0.3748
173	0.3148	0.3749
174	0.3158	0.3748
175	0.3139	0.3748
176	0.3134	0.3748
177	0.3144	0.3748
178	0.3148	0.3748
179	0.3123	0.3748
180	0.3132	0.3748
181	0.3127	0.3748
182	0.3114	0.3748
183	0.3124	0.3748
184	0.3148	0.3748
185	0.3185	0.3748
186	0.3154	0.3748
187	0.3144	0.3748
188	0.3154	0.3748
189	0.3139	0.3748
190	0.3142	0.3748
191	0.3127	0.3748
192	0.3134	0.3748
193	0.3125	0.3748
194	0.3138	0.3748
195	0.3142	0.3748
196	0.3152	0.3748
197	0.3126	0.3748
198	0.3138	0.3748
199	0.3119	0.3748
200	0.3139	0.3748
