Epoch	G Loss	D Loss	Validation Loss
1	6.7329	0.6897	0.2871
2	5.1931	0.6120	0.2225
3	5.4384	0.6089	0.2272
4	5.6087	0.6451	0.2580
5	5.5132	0.6128	0.2586
6	5.5933	0.6258	0.2628
7	5.5705	0.6339	0.2477
8	5.6210	0.6262	0.2398
9	5.6356	0.6496	0.2351
10	5.6624	0.6173	0.2608
11	5.7071	0.6389	0.2900
12	5.6668	0.6313	0.2434
13	5.6810	0.6376	0.2343
14	5.6347	0.6353	0.2708
15	5.6677	0.6529	0.2570
16	5.6487	0.6313	0.2424
17	5.6629	0.6315	0.2650
18	5.6836	0.6329	0.2611
19	5.7404	0.6309	0.2369
20	5.7661	0.6423	0.2552
21	5.7029	0.6373	0.2801
22	5.6936	0.6237	0.2570
23	5.6904	0.6460	0.3189
24	5.6638	0.6136	0.2448
25	5.7842	0.6504	0.3016
26	5.7084	0.6126	0.2516
27	5.6518	0.6388	0.2546
28	5.6809	0.6373	0.2843
29	5.7412	0.6366	0.3110
30	5.6273	0.6162	0.2527
31	5.6203	0.6343	0.3002
32	5.6283	0.6260	0.2417
33	5.6741	0.6190	0.2679
34	5.6705	0.6248	0.2491
35	5.5946	0.6294	0.2813
36	5.5918	0.6138	0.2825
37	5.6273	0.6155	0.2590
38	5.5089	0.6081	0.2420
39	5.5981	0.6184	0.2725
40	5.4390	0.6163	0.3724
41	5.1441	0.5500	0.2350
42	5.1177	0.5275	0.2605
43	5.1391	0.5214	0.2522
44	5.1912	0.5161	0.2548
45	5.2681	0.5269	0.2817
46	5.3395	0.4859	0.2491
47	5.3104	0.4683	0.2712
48	5.3842	0.5005	0.2447
49	5.3769	0.4827	0.2492
50	5.3855	0.4832	0.2479
51	5.4604	0.4898	0.2531
52	5.4139	0.4619	0.2626
53	5.4377	0.4871	0.2485
54	5.3989	0.4594	0.2521
55	5.4726	0.4349	0.2532
56	5.5241	0.4834	0.2471
57	5.4299	0.4524	0.2468
58	5.5066	0.4395	0.2675
59	5.5454	0.4817	0.2711
60	5.5296	0.4687	0.2536
61	5.4504	0.4895	0.2523
62	5.4318	0.4514	0.2700
63	5.4562	0.4568	0.2718
64	5.3691	0.5139	0.2532
65	5.3360	0.4597	0.2516
66	5.3593	0.4550	0.2438
67	5.3843	0.4441	0.2572
68	5.3683	0.4496	0.2479
69	5.3784	0.4497	0.2556
70	5.3508	0.4643	0.2492
71	5.3299	0.4776	0.2933
72	5.2913	0.4826	0.2539
73	5.2313	0.4542	0.2500
74	5.2197	0.4752	0.2714
75	5.2309	0.5035	0.2480
76	5.2495	0.4714	0.2492
77	5.2201	0.4674	0.2638
78	5.3321	0.4613	0.2567
79	5.3474	0.4670	0.2510
80	5.2983	0.4505	0.2548
81	4.9853	0.3980	0.2515
82	4.9728	0.3851	0.2533
83	4.9663	0.3624	0.2471
84	4.9564	0.3768	0.2438
85	4.9620	0.3856	0.2502
86	4.9948	0.3719	0.2480
87	4.9948	0.3742	0.2507
88	4.9996	0.3696	0.2496
89	5.0061	0.3710	0.2500
90	5.0205	0.3699	0.2541
91	5.0198	0.3744	0.2503
92	5.0394	0.3639	0.2503
93	5.0259	0.3585	0.2518
94	5.0366	0.3577	0.2503
95	5.0547	0.3504	0.2484
96	5.0720	0.3473	0.2517
97	5.0826	0.3503	0.2528
98	5.0975	0.3401	0.2491
99	5.1013	0.3370	0.2488
100	5.1102	0.3316	0.2508
101	5.1486	0.3289	0.2509
102	5.1342	0.3339	0.2498
103	5.1380	0.3367	0.2542
104	5.1301	0.3331	0.2521
105	5.1328	0.3369	0.2498
106	5.1114	0.3480	0.2586
107	5.1772	0.3512	0.2553
108	5.1826	0.3394	0.2528
109	5.2133	0.3350	0.2533
110	5.2223	0.3108	0.2510
111	5.1816	0.3173	0.2483
112	5.2079	0.3209	0.2491
113	5.2083	0.3314	0.2515
114	5.2156	0.3209	0.2530
115	5.2479	0.3175	0.2513
116	5.2554	0.3155	0.2520
117	5.2651	0.3066	0.2505
118	5.2741	0.2978	0.2515
119	5.2890	0.2919	0.2522
120	5.2959	0.2924	0.2494
121	5.2163	0.2934	0.2489
122	5.2208	0.2881	0.2482
123	5.2309	0.2868	0.2492
124	5.2351	0.2854	0.2503
125	5.2241	0.2846	0.2495
126	5.2275	0.2832	0.2501
